#q*Aangstroem	C14_ESRF_ID01 (4200 mm)*cm*sr	stddev*cm*sr
0.023495	40.557	0.013910
0.023549	40.537	0.014027
0.023603	40.525	0.013689
0.023658	40.515	0.013671
0.023712	40.506	0.013659
0.023767	40.487	0.013648
0.023821	40.458	0.013638
0.023876	40.450	0.013623
0.023930	40.451	0.013617
0.023985	40.447	0.013606
0.024039	40.433	0.013589
0.024094	40.423	0.013593
0.024148	40.423	0.013591
0.024202	40.418	0.013624
0.024257	40.399	0.013617
0.024311	40.379	0.013724
0.024366	40.363	0.013742
0.024420	40.360	0.013903
0.024475	40.347	0.013845
0.024529	40.318	0.013432
0.024584	40.290	0.013416
0.024638	40.282	0.013404
0.024692	40.277	0.013392
0.024747	40.266	0.013381
0.024801	40.250	0.013366
0.024856	40.226	0.013366
0.024910	40.205	0.013351
0.024965	40.181	0.013345
0.025019	40.165	0.013352
0.025074	40.154	0.013350
0.025128	40.147	0.013353
0.025182	40.146	0.013385
0.025237	40.147	0.013400
0.025291	40.130	0.013533
0.025346	40.078	0.013765
0.025400	40.064	0.013521
0.025455	40.053	0.013607
0.025509	40.041	0.013682
0.025564	40.049	0.013373
0.025618	40.058	0.013364
0.025672	40.059	0.013353
0.025727	40.057	0.013338
0.025781	40.036	0.013233
0.025836	40.014	0.013220
0.025890	39.987	0.013190
0.025945	39.970	0.013125
0.025999	39.947	0.013109
0.026054	39.936	0.013107
0.026108	39.918	0.013502
0.026162	39.922	0.013386
0.026217	39.906	0.013428
0.026271	39.891	0.013090
0.026326	39.866	0.013119
0.026380	39.868	0.013120
0.026435	39.859	0.013512
0.026489	39.855	0.013538
0.026544	39.848	0.013500
0.026598	39.832	0.013655
0.026653	39.809	0.013310
0.026707	39.795	0.013344
0.026761	39.783	0.013424
0.026816	39.745	0.012930
0.026870	39.708	0.012894
0.026925	39.695	0.012883
0.026979	39.694	0.012868
0.027034	39.697	0.012826
0.027088	39.683	0.012811
0.027143	39.663	0.012793
0.027197	39.647	0.012789
0.027251	39.648	0.012784
0.027306	39.651	0.012779
0.027360	39.645	0.012769
0.027415	39.642	0.012756
0.027469	39.619	0.012749
0.027524	39.593	0.012760
0.027578	39.586	0.012758
0.027633	39.575	0.013085
0.027687	39.572	0.013052
0.027741	39.561	0.013059
0.027796	39.536	0.013254
0.027850	39.515	0.013233
0.027905	39.502	0.013404
0.027959	39.499	0.012801
0.028014	39.497	0.012770
0.028068	39.496	0.012751
0.028123	39.489	0.012752
0.028177	39.478	0.012734
0.028231	39.455	0.012720
0.028286	39.433	0.012613
0.028340	39.432	0.012559
0.028395	39.424	0.012554
0.028449	39.388	0.012537
0.028504	39.375	0.012526
0.028558	39.379	0.012523
0.028613	39.378	0.012513
0.028667	39.367	0.012503
0.028722	39.354	0.012500
0.028776	39.343	0.012491
0.028830	39.338	0.012502
0.028885	39.333	0.012490
0.028939	39.312	0.012486
0.028994	39.280	0.012908
0.029048	39.276	0.012584
0.029103	39.280	0.012490
0.029157	39.289	0.012498
0.029211	39.274	0.012486
0.029266	39.257	0.012527
0.029320	39.236	0.012714
0.029375	39.223	0.012756
0.029429	39.208	0.012649
0.029484	39.200	0.012201
0.029538	39.199	0.012182
0.029593	39.201	0.012175
0.029647	39.207	0.012165
0.029701	39.188	0.012153
0.029756	39.154	0.012146
0.029810	39.134	0.012134
0.029865	39.125	0.012124
0.029919	39.109	0.012114
0.029974	39.090	0.012098
0.030028	39.078	0.012097
0.030083	39.083	0.012120
0.030137	39.077	0.012240
0.030192	39.054	0.012385
0.030246	39.037	0.013501
0.030300	39.030	0.012422
0.030355	39.014	0.013377
0.030409	39.008	0.012725
0.030464	38.988	0.012739
0.030518	38.979	0.012625
0.030573	38.957	0.012827
0.030627	38.926	0.012728
0.030682	38.912	0.013124
0.030736	38.922	0.012864
0.030790	38.927	0.013533
0.030845	38.897	0.012892
0.030899	38.880	0.013229
0.030954	38.866	0.013292
0.031008	38.873	0.012955
0.031063	38.874	0.012912
