B	C	D	E	F	G
0.32620	0.34220	0.0027610	0.013530	0.32620	1.0000
0.32880	0.33390	0.0030490	0.013640	0.32880	1.0000
0.33140	0.32720	0.0031190	0.013740	0.33140	1.0000
0.33390	0.31960	0.0029420	0.013840	0.33390	1.0000
0.33650	0.31130	0.0028950	0.013940	0.33650	1.0000
0.33900	0.30610	0.0028380	0.014040	0.33900	1.0000
0.34150	0.30150	0.0030470	0.014140	0.34150	1.0000
0.34400	0.29010	0.0028500	0.014240	0.34400	1.0000
0.34650	0.28870	0.0028140	0.014340	0.34650	1.0000
0.34900	0.28190	0.0026390	0.014440	0.34900	1.0000
0.35140	0.26940	0.0028980	0.014540	0.35140	1.0000
0.35390	0.27500	0.0026300	0.014640	0.35390	1.0000
0.35630	0.26350	0.0025760	0.014730	0.35630	1.0000
0.35870	0.25840	0.0028900	0.014830	0.35870	1.0000
0.36110	0.25210	0.0032250	0.014930	0.36110	1.0000
0.36350	0.24710	0.0038300	0.015020	0.36350	1.0000
0.36590	0.23530	0.0036330	0.015120	0.36590	1.0000
0.36820	0.23300	0.0037200	0.015210	0.36820	1.0000
0.37060	0.22970	0.0044420	0.015310	0.37060	1.0000
0.37290	0.22310	0.0044620	0.015400	0.37290	1.0000
0.37520	0.22550	0.0046320	0.015490	0.37520	1.0000
0.37750	0.22250	0.0046600	0.015580	0.37750	1.0000
0.37980	0.21150	0.0058230	0.015680	0.37980	1.0000
0.38210	0.21190	0.0055190	0.015770	0.38210	1.0000
0.38440	0.21110	0.0049000	0.015860	0.38440	1.0000
0.38660	0.19990	0.0073070	0.015950	0.38660	1.0000
0.38880	0.20790	0.0081760	0.016040	0.38880	1.0000
0.39110	0.21640	0.010780	0.016130	0.39110	1.0000
0.39330	0.23250	0.019330	0.016220	0.39330	1.0000
