#q*Aangstroem	C14_ESRF_ID01 (521 mm)*cm*sr	stddev*cm*sr
0.19314	11.517	0.0036539
0.19358	11.445	0.0036329
0.19402	11.374	0.0036196
0.19446	11.306	0.0036294
0.19489	11.234	0.0036403
0.19533	11.169	0.0035793
0.19577	11.099	0.0035651
0.19621	11.026	0.0035980
0.19665	10.954	0.0034765
0.19708	10.882	0.0034621
0.19752	10.816	0.0034457
0.19796	10.749	0.0034082
0.19840	10.677	0.0033949
0.19883	10.609	0.0033813
0.19927	10.542	0.0033717
0.19971	10.478	0.0033573
0.20015	10.415	0.0033528
0.20059	10.351	0.0033451
0.20102	10.285	0.0033361
0.20146	10.217	0.0033478
0.20190	10.151	0.0033458
0.20234	10.085	0.0033853
0.20277	10.024	0.0033071
0.20321	9.9594	0.0033131
0.20365	9.8936	0.0032192
0.20409	9.8315	0.0032052
0.20452	9.7719	0.0031930
0.20496	9.7128	0.0031854
0.20540	9.6512	0.0031735
0.20584	9.5912	0.0031613
0.20627	9.5307	0.0031438
0.20671	9.4694	0.0031319
0.20715	9.4080	0.0031190
0.20759	9.3472	0.0031095
0.20802	9.2861	0.0030974
0.20846	9.2261	0.0030871
0.20890	9.1702	0.0030769
0.20934	9.1168	0.0030687
0.20977	9.0601	0.0030641
0.21021	9.0002	0.0030556
0.21065	8.9406	0.0030755
0.21109	8.8826	0.0030778
0.21152	8.8264	0.0030095
0.21196	8.7750	0.0030216
0.21240	8.7211	0.0030306
0.21284	8.6656	0.0029478
0.21328	8.6093	0.0029361
0.21371	8.5535	0.0029247
0.21415	8.5014	0.0029135
0.21459	8.4487	0.0029023
0.21503	8.3959	0.0028904
0.21546	8.3425	0.0028777
0.21590	8.2871	0.0028672
0.21634	8.2332	0.0028559
0.21677	8.1818	0.0028456
0.21721	8.1277	0.0029163
0.21765	8.0814	0.0028269
0.21809	8.0317	0.0028208
0.21852	7.9789	0.0028103
0.21896	7.9297	0.0028018
0.21940	7.8806	0.0028019
0.21984	7.8289	0.0028646
0.22027	7.7790	0.0028425
0.22071	7.7302	0.0028616
0.22115	7.6855	0.0028098
0.22159	7.6388	0.0027473
0.22202	7.5896	0.0027556
0.22246	7.5357	0.0028280
0.22290	7.4867	0.0027410
0.22334	7.4411	0.0027272
0.22377	7.3995	0.0026679
0.22421	7.3541	0.0026584
0.22465	7.3073	0.0026488
0.22509	7.2590	0.0027034
0.22552	7.2156	0.0026791
0.22596	7.1691	0.0027420
0.22640	7.1312	0.0026688
0.22684	7.0870	0.0026220
0.22727	7.0381	0.0026976
0.22771	6.9929	0.0026639
0.22815	6.9518	0.0026442
0.22858	6.9095	0.0026281
0.22902	6.8646	0.0026193
0.22946	6.8210	0.0026156
0.22990	6.7793	0.0026396
0.23033	6.7354	0.0026178
0.23077	6.6942	0.0026063
0.23121	6.6569	0.0026001
0.23165	6.6161	0.0026313
0.23208	6.5744	0.0026041
0.23252	6.5347	0.0026462
0.23296	6.4965	0.0025216
0.23340	6.4550	0.0025025
0.23383	6.4147	0.0024910
0.23427	6.3753	0.0024819
0.23471	6.3363	0.0024533
0.23514	6.2991	0.0024392
0.23558	6.2599	0.0024268
0.23602	6.2217	0.0024429
0.23646	6.1830	0.0024335
0.23689	6.1453	0.0024239
0.23733	6.1083	0.0023964
0.23777	6.0707	0.0023852
0.23820	6.0344	0.0023736
0.23864	5.9973	0.0023635
0.23908	5.9619	0.0023541
0.23952	5.9257	0.0023455
0.23995	5.8891	0.0023315
0.24039	5.8553	0.0023248
0.24083	5.8219	0.0023242
0.24126	5.7874	0.0023218
0.24170	5.7528	0.0023128
0.24214	5.7158	0.0023115
0.24258	5.6784	0.0023299
0.24301	5.6444	0.0023206
0.24345	5.6106	0.0023382
0.24389	5.5768	0.0022837
0.24432	5.5447	0.0022751
0.24476	5.5127	0.0022817
0.24520	5.4828	0.0022149
0.24564	5.4509	0.0022064
0.24607	5.4177	0.0021979
0.24651	5.3847	0.0021906
0.24695	5.3528	0.0021863
0.24738	5.3204	0.0021793
0.24782	5.2860	0.0024112
0.24826	5.2526	0.0022370
0.24870	5.2202	0.0022561
0.24913	5.1882	0.0022662
0.24957	5.1573	0.0023215
0.25001	5.1248	0.0022401
0.25044	5.0948	0.0023068
0.25088	5.0631	0.0022528
0.25132	5.0321	0.0022717
0.25176	5.0046	0.0022518
0.25219	4.9755	0.0022412
0.25263	4.9457	0.0022537
0.25307	4.9149	0.0022440
0.25350	4.8864	0.0022603
0.25394	4.8585	0.0025207
0.25438	4.8277	0.0022329
0.25481	4.8005	0.0022665
0.25525	4.7696	0.0022350
0.25569	4.7421	0.0022804
0.25612	4.7145	0.0023283
0.25656	4.6877	0.0022509
0.25700	4.6619	0.0022629
0.25744	4.6341	0.0022864
0.25787	4.6066	0.0021791
0.25831	4.5789	0.0021807
0.25875	4.5530	0.0021661
0.25918	4.5268	0.0021612
0.25962	4.5000	0.0021601
0.26006	4.4731	0.0022310
0.26049	4.4470	0.0021470
0.26093	4.4187	0.0022192
0.26137	4.3950	0.0022047
0.26180	4.3703	0.0021444
0.26224	4.3459	0.0021339
0.26268	4.3217	0.0021325
0.26312	4.2987	0.0021520
0.26355	4.2747	0.0021029
0.26399	4.2468	0.0020932
0.26443	4.2222	0.0020926
0.26486	4.2006	0.0021495
